ACCESSION_NUMBER,Business Plan,NAMEOFISSUER,CIK,FILE_NUMBER,amount,SUBMISSION_TYPE_x,FILING_DATE_x
0001687610-20-000005,https://www.sec.gov/Archives/edgar/data/1687610/000168761020000005/contiqformc.pdf,"Contiq, Inc.",1687610,020-26850,"486,545.72",C,20200828
0001670254-16-000168,https://www.sec.gov/Archives/edgar/data/1687611/000167025416000168/document_4.pdf,"CrowdMed, Inc.",1687611,020-23037,"427,232.00",C,20161020
0001670254-16-000168,https://www.sec.gov/Archives/edgar/data/1687611/000167025416000168/document_4.pdf,"CrowdMed, Inc.",1687611,020-23037,"403,471.00",C,20161020
0001670254-16-000200,https://www.sec.gov/Archives/edgar/data/1687611/000167025416000200/document_4.pdf,"CrowdMed, Inc.",1687611,020-23037,"427,232.00",C/A,20161116
0001670254-16-000200,https://www.sec.gov/Archives/edgar/data/1687611/000167025416000200/document_4.pdf,"CrowdMed, Inc.",1687611,020-23037,"403,471.00",C/A,20161116
0001670254-18-000165,https://www.sec.gov/Archives/edgar/data/1687611/000167025418000165/document_12.pdf,"CrowdMed, Inc.",1687611,020-23037,"427,232.00",C-AR,20180427
0001670254-18-000165,https://www.sec.gov/Archives/edgar/data/1687611/000167025418000165/document_12.pdf,"CrowdMed, Inc.",1687611,020-23037,"403,471.00",C-AR,20180427
0001670254-20-000425,https://www.sec.gov/Archives/edgar/data/1687611/000167025420000425/document_21.pdf,"CrowdMed, Inc.",1687611,020-23037,"427,232.00",C-AR,20200608
0001670254-20-000425,https://www.sec.gov/Archives/edgar/data/1687611/000167025420000425/document_21.pdf,"CrowdMed, Inc.",1687611,020-23037,"403,471.00",C-AR,20200608
0001665160-18-000457,https://www.sec.gov/Archives/edgar/data/1687626/000166516018000457/offeringmemoformc.pdf,"American Ultimate Disc League, LLC",1687626,020-24279,"509,817",C,20180518
0001665160-18-000540,https://www.sec.gov/Archives/edgar/data/1687626/000166516018000540/audlll_offering.pdf,"American Ultimate Disc League, LLC",1687626,020-24279,"509,817",C/A,20180607
0001665160-20-000362,https://www.sec.gov/Archives/edgar/data/1687626/000166516020000362/form_car.pdf,"American Ultimate Disc League, LLC",1687626,020-24279,"509,817",C-AR,20200422
0001665160-20-000364,https://www.sec.gov/Archives/edgar/data/1687626/000166516020000364/form_car.pdf,"American Ultimate Disc League, LLC",1687626,020-24279,"509,817",C-AR,20200422
0001665160-18-000755,https://www.sec.gov/Archives/edgar/data/1688029/000166516018000755/offeringmemoformc.pdf,"DIVINIA Water, Inc.",1688029,020-24549,"591,024",C,20180731
0001665160-18-000759,https://www.sec.gov/Archives/edgar/data/1688029/000166516018000759/offeringmemoformc.pdf,"DIVINIA Water, Inc.",1688029,020-24549,"591,024",C/A,20180801
0001665160-18-000773,https://www.sec.gov/Archives/edgar/data/1688029/000166516018000773/divinia2.pdf,"Divinia Water, Inc.",1688029,020-24549,"591,024",C/A,20180803
0001665160-18-001061,https://www.sec.gov/Archives/edgar/data/1688029/000166516018001061/divinia_increase.pdf,"Divinia Water, Inc.",1688029,020-24549,"591,024",C/A,20181012
0001665160-19-000472,https://www.sec.gov/Archives/edgar/data/1688029/000166516019000472/offeringmemoformc.pdf,"Divinia Water, Inc.",1688029,020-24549,"591,024",C/A,20190430
0001665160-20-000004,https://www.sec.gov/Archives/edgar/data/1688029/000166516020000004/offeringmemoformc.pdf,"Divinia Water, INC.",1688029,020-24549,"591,024",C/A,20200102
0001665160-20-000436,https://www.sec.gov/Archives/edgar/data/1688029/000166516020000436/offeringmemoformc.pdf,"Divinia Water, INC.",1688029,020-24549,"591,024",C/A,20200428
0001665160-19-000498,https://www.sec.gov/Archives/edgar/data/1688029/000166516019000498/form_car.pdf,"Divinia Water, Inc.",1688029,020-24549,"591,024",C-AR,20190430
0001665160-20-000554,https://www.sec.gov/Archives/edgar/data/1688029/000166516020000554/form_car.pdf,"Divinia Water, INC.",1688029,020-24549,"591,024",C-AR,20200504
0001665160-16-000150,https://www.sec.gov/Archives/edgar/data/1688786/000166516016000150/offeringcircular.pdf,Jetpack Aviation,1688786,020-23075,"242,558.55",C,20161116
0001665160-17-000022,https://www.sec.gov/Archives/edgar/data/1688786/000166516017000022/offeringcircular.pdf,Jetpack Aviation,1688786,020-23075,"242,558.55",C/A,20170201
0001688786-17-000001,https://www.sec.gov/Archives/edgar/data/1688786/000168878617000001/jetpackannualreport2017.pdf,Jetpack Aviation Corp,1688786,020-23075,"242,558.55",C-AR,20170501
0001670254-16-000236,https://www.sec.gov/Archives/edgar/data/1689299/000167025416000236/document_5.pdf,"Ridgemont Outfitters, Inc.",1689299,020-23117,"218,455.00",C,20161221
0001670254-16-000236,https://www.sec.gov/Archives/edgar/data/1689299/000167025416000236/document_5.pdf,"Ridgemont Outfitters, Inc.",1689299,020-23117,"195,272.00",C,20161221
0001670254-17-000081,https://www.sec.gov/Archives/edgar/data/1689299/000167025417000081/document_10.pdf,"Ridgemont Outfitters, Inc.",1689299,020-23117,"218,455.00",C/A,20170501
0001670254-17-000081,https://www.sec.gov/Archives/edgar/data/1689299/000167025417000081/document_10.pdf,"Ridgemont Outfitters, Inc.",1689299,020-23117,"195,272.00",C/A,20170501
0001670254-17-000187,https://www.sec.gov/Archives/edgar/data/1689299/000167025417000187/document_10.pdf,"Ridgemont Outfitters, Inc.",1689299,020-23117,"218,455.00",C/A,20170703
0001670254-17-000187,https://www.sec.gov/Archives/edgar/data/1689299/000167025417000187/document_10.pdf,"Ridgemont Outfitters, Inc.",1689299,020-23117,"195,272.00",C/A,20170703
0001670254-17-000211,https://www.sec.gov/Archives/edgar/data/1689299/000167025417000211/document_10.pdf,"Ridgemont Outfitters, Inc.",1689299,020-23117,"218,455.00",C/A,20170728
0001670254-17-000211,https://www.sec.gov/Archives/edgar/data/1689299/000167025417000211/document_10.pdf,"Ridgemont Outfitters, Inc.",1689299,020-23117,"195,272.00",C/A,20170728
0001670254-17-000288,https://www.sec.gov/Archives/edgar/data/1689299/000167025417000288/document_10.pdf,"Ridgemont Outfitters, Inc.",1689299,020-23117,"218,455.00",C/A,20171020
0001670254-17-000288,https://www.sec.gov/Archives/edgar/data/1689299/000167025417000288/document_10.pdf,"Ridgemont Outfitters, Inc.",1689299,020-23117,"195,272.00",C/A,20171020
0001689683-20-000002,https://www.sec.gov/Archives/edgar/data/1689683/000168968320000002/formc.pdf,"Our Life Foods, Inc",1689683,020-26241,"41,251",C,20200318
0001689683-20-000003,https://www.sec.gov/Archives/edgar/data/1689683/000168968320000003/formc.pdf,"Our Life Foods, Inc",1689683,020-26241,"41,251",C/A,20200508
0001690042-16-000004,https://www.sec.gov/Archives/edgar/data/1690042/000169004216000004/formc.pdf,BeatStars Inc.,1690042,020-23072,"183,000",C,20161115
0001690042-17-000002,https://www.sec.gov/Archives/edgar/data/1690042/000169004217000002/beatstarsformcar.pdf,BeatStars Inc.,1690042,020-23072,"183,000",C-AR,20170501
0001690042-18-000002,https://www.sec.gov/Archives/edgar/data/1690042/000169004218000002/Beatstars_FormC-AR.pdf,BeatStars Inc.,1690042,020-23072,"183,000",C-AR,20180430
0001690165-18-000003,https://www.sec.gov/Archives/edgar/data/1690165/000169016518000003/formc.pdf,"ReGrained, Inc.",1690165,020-23924,"514,561.65",C,20180118
0001690165-18-000007,https://www.sec.gov/Archives/edgar/data/1690165/000169016518000007/formc.pdf,"ReGrained, Inc.",1690165,020-23924,"514,561.65",C/A,20180309
0001690165-18-000008,https://www.sec.gov/Archives/edgar/data/1690165/000169016518000008/formc_ar_regrained.pdf,"ReGrained, Inc.",1690165,020-23924,"514,561.65",C-AR,20180430
0001690165-20-000003,https://www.sec.gov/Archives/edgar/data/1690165/000169016520000003/formc-ar.pdf,jordan schwartz,1690165,020-23924,"514,561.65",C-AR,20200612
0001669191-17-000124,https://www.sec.gov/Archives/edgar/data/1690258/000166919117000124/pitchdeck.pdf,"YouStake, Inc.",1690258,020-23583,"29,925.50",C,20170913
0001669191-17-000193,https://www.sec.gov/Archives/edgar/data/1690258/000166919117000193/pitchdeck.pdf,"YouStake, Inc.",1690258,020-23583,"29,925.50",C/A,20171219
0001669191-18-000394,https://www.sec.gov/Archives/edgar/data/1690258/000166919118000394/YouStake-Annual_Report_2018.pdf,"YouStake, Inc.",1690258,020-23583,"29,925.50",C-AR,20180827
0001690474-20-000002,https://www.sec.gov/Archives/edgar/data/1690474/000169047420000002/blueformc.pdf,"Follow-Mee, Inc.",1690474,020-26187,"1,070,000",C,20200228
0001690474-20-000008,https://www.sec.gov/Archives/edgar/data/1690474/000169047420000008/blueformcafiling.pdf,"Follow-Mee, Inc.",1690474,020-26187,"1,070,000",C/A,20200428
0001690474-20-000009,https://www.sec.gov/Archives/edgar/data/1690474/000169047420000009/followmeeformca05292020.pdf,"Follow-Mee, Inc.",1690474,020-26187,"1,070,000",C/A,20200529
0001665160-16-000183,https://www.sec.gov/Archives/edgar/data/1690598/000166516016000183/startengnineinvestprocess.pdf,"ITFT, Inc.",1690598,020-23128,"170,010",C,20161229
0001665160-16-000193,https://www.sec.gov/Archives/edgar/data/1690598/000166516016000193/startengnineinvestprocess.pdf,"ITFT, Inc.",1690598,020-23128,"170,010",C/A,20170103
0001665160-17-000106,https://www.sec.gov/Archives/edgar/data/1690598/000166516017000106/startengnineinvestprocess.pdf,"ITFT, Inc.",1690598,020-23128,"170,010",C/A,20170404
0001144204-17-023611,https://www.sec.gov/Archives/edgar/data/1690598/000114420417023611/annual_report.pdf,"ITFT, INC.",1690598,020-23128,"170,010",C-AR,20170501
0001144204-18-021806,https://www.sec.gov/Archives/edgar/data/1690598/000114420418021806/tv491627_annualreport.pdf,"ITFT, INC.",1690598,020-23128,"170,010",C-AR,20180423
0001144204-19-018627,https://www.sec.gov/Archives/edgar/data/1690598/000114420419018627/tv518414_annualreport.pdf,"ITFT, INC.",1690598,020-23128,"170,010",C-AR,20190408
0001665160-17-000112,https://www.sec.gov/Archives/edgar/data/1690631/000166516017000112/startengnineinvestprocess.pdf,Niveau Brands Inc.,1690631,020-23291,"11,800",C,20170406
0001665160-17-000146,https://www.sec.gov/Archives/edgar/data/1690631/000166516017000146/niveau_2016.pdf,"Niveau Brands, Inc.",1690631,020-23291,"11,800",C/A,20170501
0001665160-17-000193,https://www.sec.gov/Archives/edgar/data/1690631/000166516017000193/startengnineinvestprocess.pdf,Niveau Brands Inc.,1690631,020-23291,"11,800",C/A,20170517
0001665160-17-000229,https://www.sec.gov/Archives/edgar/data/1690631/000166516017000229/niveau_amendment.pdf,"Niveau Brands, Inc.",1690631,020-23291,"11,800",C/A,20170629
0001665160-17-000256,https://www.sec.gov/Archives/edgar/data/1690631/000166516017000256/niveau_ca.pdf,"Niveau Brands, Inc.",1690631,020-23291,"11,800",C/A,20170707
0001670254-17-000112,https://www.sec.gov/Archives/edgar/data/1690781/000167025417000112/document_15.pdf,Happy Tax Holding Corp,1690781,020-23356,"242,205.00",C,20170508
0001670254-17-000311,https://www.sec.gov/Archives/edgar/data/1690781/000167025417000311/document_15.pdf,Happy Tax Holding Corp,1690781,020-23734,"369,150.00",C,20171106
0001670254-17-000359,https://www.sec.gov/Archives/edgar/data/1690781/000167025417000359/document_15.pdf,Happy Tax Holding Corp,1690781,020-23734,"369,150.00",C/A,20171130
0001665160-16-000175,https://www.sec.gov/Archives/edgar/data/1690888/000166516016000175/startengnineinvestprocess.pdf,"InGen Dynamics, Inc.",1690888,020-23116,"182,847.39",C,20161215
0001690888-17-000002,https://www.sec.gov/Archives/edgar/data/1690888/000169088817000002/formcar.pdf,"InGen Dynamics, Inc.",1690888,020-23116,"182,847.39",C-AR,20170428
0001690888-18-000001,https://www.sec.gov/Archives/edgar/data/1690888/000169088818000001/ingenformcara.pdf,"InGen Dynamics, Inc.",1690888,020-23116,"182,847.39",C-AR,20180501
0001690888-19-000001,https://www.sec.gov/Archives/edgar/data/1690888/000169088819000001/ingenformcara2018-X.pdf,"InGen Dynamics, Inc.",1690888,020-23116,"182,847.39",C-AR,20190515
0001690888-17-000003,https://www.sec.gov/Archives/edgar/data/1690888/000169088817000003/ingenformcara.pdf,"InGen Dynamics, Inc.",1690888,020-23116,"182,847.39",C-AR/A,20170509
0001690909-16-000001,https://www.sec.gov/Archives/edgar/data/1690909/000169090916000001/formc.pdf,"Ellison Eyewear, Inc.",1690909,020-23100,"131,079",C,20161206
0001690909-17-000003,https://www.sec.gov/Archives/edgar/data/1690909/000169090917000003/ellisoneyewearformcar.pdf,"Ellison Eyewear, Inc",1690909,020-23100,"131,079",C-AR,20170501
0001690909-18-000003,https://www.sec.gov/Archives/edgar/data/1690909/000169090918000003/FormCAR.pdf,"Ellison Eyewear, Inc",1690909,020-23100,"131,079",C-AR,20180430
0001690909-17-000004,https://www.sec.gov/Archives/edgar/data/1690909/000169090917000004/formc.pdf,"Ellison Eyewear, Inc",1690909,020-23808,"72,600",C,20171122
0001690909-17-000005,https://www.sec.gov/Archives/edgar/data/1690909/000169090917000005/formca.pdf,"Ellison Eyewear, Inc",1690909,020-23808,"72,600",C/A,20171122
0001670254-17-000224,https://www.sec.gov/Archives/edgar/data/1691252/000167025417000224/document_17.pdf,"I-PASS Patient Safety Institute, Inc.",1691252,020-23518,"149,054.98",C,20170807
0001670254-18-000024,https://www.sec.gov/Archives/edgar/data/1691252/000167025418000024/document_18.pdf,"I-PASS Patient Safety Institute, Inc.",1691252,020-23518,"149,054.98",C/A,20180201
0001691252-18-000002,https://www.sec.gov/Archives/edgar/data/1691252/000169125218000002/formc-ar.pdf,"I-PASS Patient Safety Institute, Inc.",1691252,020-23518,"149,054.98",C-AR,20180426
0001691252-18-000004,https://www.sec.gov/Archives/edgar/data/1691252/000169125218000004/formcar.pdf,"I-Pass Patient Safety Institute, Inc.",1691252,020-23518,"149,054.98",C-AR/A,20180430
0001691448-16-000001,https://www.sec.gov/Archives/edgar/data/1691448/000169144816000001/ExhibitE_VideoScript.pdf,Barber Surgeons Inc.,1691448,020-23097,"199,150",C,20161205
0001691448-17-000001,https://www.sec.gov/Archives/edgar/data/1691448/000169144817000001/ExhibitA_BSOM3.pdf,Barber Surgeons Inc.,1691448,020-23097,"199,150",C/A,20170207
0001691477-17-000001,https://www.sec.gov/Archives/edgar/data/1691477/000169147717000001/FormCCKidsv4.pdf,"Cornerstone Kids, Inc.",1691477,020-23224,"21,000",C,20170227
0001691477-17-000003,https://www.sec.gov/Archives/edgar/data/1691477/000169147717000003/FormCCKidsRevisedFinal4.pdf,"Cornerstone Kids, Inc.",1691477,020-23224,"21,000",C/A,20170418
0001691477-17-000004,https://www.sec.gov/Archives/edgar/data/1691477/000169147717000004/FormCCKidsAmended042617.pdf,"Cornerstone Kids, Inc.",1691477,020-23224,"21,000",C/A,20170426
0001665160-16-000180,https://www.sec.gov/Archives/edgar/data/1691594/000166516016000180/startengnineinvestprocess.pdf,"Gotham Ballers, Inc.",1691594,020-23125,"574,672.00",C,20161228
0001665160-16-000192,https://www.sec.gov/Archives/edgar/data/1691594/000166516016000192/startengnineinvestprocess.pdf,"Gotham Ballers, Inc.",1691594,020-23125,"574,672.00",C/A,20170103
0001665160-17-000003,https://www.sec.gov/Archives/edgar/data/1691594/000166516017000003/startengnineinvestprocess.pdf,"Gotham Ballers, Inc.",1691594,020-23125,"574,672.00",C/A,20170103
0001665160-17-000102,https://www.sec.gov/Archives/edgar/data/1691594/000166516017000102/startengnineinvestprocess.pdf,"Gotham Ballers, Inc.",1691594,020-23125,"574,672.00",C/A,20170331
0001206774-17-001500,https://www.sec.gov/Archives/edgar/data/1691594/000120677417001500/gotham3249901-ex99.pdf,Service unavailable.  Try again later.,1691594,020-23125,"574,672.00",C-AR,20170501
0001206774-17-001525,https://www.sec.gov/Archives/edgar/data/1691594/000120677417001525/gotham3249901-ex99.pdf,"Gotham Ballers, Inc.",1691594,020-23125,"574,672.00",C-AR/A,20170502
0001691608-18-000001,https://www.sec.gov/Archives/edgar/data/1691608/000169160818000001/document3.pdf,"Fair Isle Brewing, LLC",1691608,020-24685,"329,400",C,20180914
0001691608-19-000001,https://www.sec.gov/Archives/edgar/data/1691608/000169160819000001/fairisle1.pdf,Fair Isle Brewing LLC,1691608,020-24685,"329,400",C-AR,20190430
0001691657-19-000001,https://www.sec.gov/Archives/edgar/data/1691657/000169165719000001/stare.pdf,"Stareable, Inc.",1691657,020-25983,"91,491",C,20191227
0001691657-20-000001,https://www.sec.gov/Archives/edgar/data/1691657/000169165720000001/stareablecar.pdf,"Stareable, Inc.",1691657,020-25983,"91,491",C-AR,20200605
0001691774-16-000001,https://www.sec.gov/Archives/edgar/data/1691774/000169177416000001/formc.pdf,"Texas Zebo, LLC",1691774,020-23113,"347,113",C,20161214
0001691774-17-000001,https://www.sec.gov/Archives/edgar/data/1691774/000169177417000001/texaszeboformcafinal.pdf,"Texas Zebo, L.L.C.",1691774,020-23113,"347,113",C/A,20170209
0001691774-17-000003,https://www.sec.gov/Archives/edgar/data/1691774/000169177417000003/texaszeboformcar.pdf,"Texas Zebo, L.L.C.",1691774,020-23113,"347,113",C-AR,20170501
0001665160-17-000009,https://www.sec.gov/Archives/edgar/data/1691795/000166516017000009/startengnineinvestprocess.pdf,"AnJeDa Fitness, Inc.",1691795,020-23153,"76,027.50",C,20170112
0001665160-17-000019,https://www.sec.gov/Archives/edgar/data/1691795/000166516017000019/startengnineinvestprocess.pdf,"AnJeDa Fitness, Inc.",1691795,020-23153,"76,027.50",C/A,20170126
0001665160-17-000079,https://www.sec.gov/Archives/edgar/data/1691795/000166516017000079/startengnineinvestprocess.pdf,"AnJeDa Fitness, Inc.",1691795,020-23153,"76,027.50",C/A,20170324
0001665160-17-000145,https://www.sec.gov/Archives/edgar/data/1691795/000166516017000145/anjeda_2016.pdf,"AnJeDa Fitness, Inc.",1691795,020-23153,"76,027.50",C/A,20170501
0001665160-17-000161,https://www.sec.gov/Archives/edgar/data/1691795/000166516017000161/ftfl_screen.pdf,"AnJeDa Fitness, Inc.",1691795,020-23153,"76,027.50",C/A,20170505
0001665160-17-000143,https://www.sec.gov/Archives/edgar/data/1691795/000166516017000143/annual_report.pdf,"AnJeDa Fitness, Inc.",1691795,020-23153,"76,027.50",C-AR,20170428
0001691877-17-000001,https://www.sec.gov/Archives/edgar/data/1691877/000169187717000001/mtnformc.pdf,"Me Tyme Network, Inc.",1691877,020-23180,"10,500",C,20170123
0001691935-17-000001,https://www.sec.gov/Archives/edgar/data/1691935/000169193517000001/formc.pdf,"Princeton Audio, LLC",1691935,020-23434,"83,793",C,20170622
0001691935-17-000003,https://www.sec.gov/Archives/edgar/data/1691935/000169193517000003/formc.pdf,"Princeton Audio, LLC",1691935,020-23434,"83,793",C/A,20170728
0001691935-18-000002,https://www.sec.gov/Archives/edgar/data/1691935/000169193518000002/c_ar_princetonaudio.pdf,"Princeton Audio, LLC.",1691935,020-23434,"83,793",C-AR,20180430
0001691942-17-000001,https://www.sec.gov/Archives/edgar/data/1691942/000169194217000001/ExD_Video.pdf,Voyage Media Inc.,1691942,020-23160,"375,983.30",C,20170113
0001691942-17-000004,https://www.sec.gov/Archives/edgar/data/1691942/000169194217000004/ExBFinancials.pdf,Voyage Media Inc.,1691942,020-23160,"375,983.30",C/A,20170424
0001644600-18-000007,https://www.sec.gov/Archives/edgar/data/1691942/000164460018000007/VoyageMediaAnnualReport.pdf,Voyage Media Inc.,1691942,020-23160,"375,983.30",C-AR,20180427
0001644600-19-000006,https://www.sec.gov/Archives/edgar/data/1691942/000164460019000006/VMAnnualReport2018.pdf,Voyage Media Inc.,1691942,020-23160,"375,983.30",C-AR,20190408
0001644600-20-000006,https://www.sec.gov/Archives/edgar/data/1691942/000164460020000006/VoyageMediaCAR2019.pdf,Voyage Media Inc.,1691942,020-23160,"375,983.30",C-AR,20200522
0001670254-19-000400,https://www.sec.gov/Archives/edgar/data/1691942/000167025419000400/document_5.pdf,"Voyage Media, Inc.",1691942,020-25467,"319,813.25",C,20190702
0001665160-17-000214,https://www.sec.gov/Archives/edgar/data/1692073/000166516017000214/startengnineinvestprocess.pdf,"Filmio, Inc.",1692073,020-23424,"51,909",C,20170614
0001665160-17-000233,https://www.sec.gov/Archives/edgar/data/1692073/000166516017000233/film_ca.pdf,"Filmio, Inc.",1692073,020-23424,"51,909",C/A,20170629
0001665160-17-000408,https://www.sec.gov/Archives/edgar/data/1692073/000166516017000408/film_4.pdf,"Filmio, Inc.",1692073,020-23424,"51,909",C/A,20170920
0001665160-18-000402,https://www.sec.gov/Archives/edgar/data/1692073/000166516018000402/c_ar_filmio.pdf,"Filmio, Inc.",1692073,020-23424,"51,909",C-AR,20180502
0001665160-17-000521,https://www.sec.gov/Archives/edgar/data/1692309/000166516017000521/offeringmemoformc.pdf,Affordable Community Energy Services Company,1692309,020-23705,"22,750.00",C,20171027
0001692309-18-000001,https://www.sec.gov/Archives/edgar/data/1692309/000169230918000001/FormCAR20182.pdf,Affordable Community Energy Services Co,1692309,020-23705,"22,750.00",C-AR,20180502
0001692429-20-000004,https://www.sec.gov/Archives/edgar/data/1692429/000169242920000004/formcardvrkfiling1.pdf,"ARdVRk Technologies, Inc.",1692429,020-26288,"253,750",C,20200401
0001670254-20-000131,https://www.sec.gov/Archives/edgar/data/1693046/000167025420000131/document_7.pdf,"Comsero, Inc.",1693046,020-26128,"366,003.00",C,20200219
0001665160-20-000823,https://www.sec.gov/Archives/edgar/data/1693046/000166516020000823/form_car.pdf,"Comsero, Inc.",1693046,020-26128,"366,003.00",C-AR,20200615
0001644600-17-000005,https://www.sec.gov/Archives/edgar/data/1693311/000164460017000005/TheHustleVideoScript.pdf,Hustle Con Media,1693311,020-23166,"150,000",C,20170113
0001644600-17-000012,https://www.sec.gov/Archives/edgar/data/1693311/000164460017000012/TheHustleOfferingPage.pdf,Hustle Con Media,1693311,020-23166,"150,000",C/A,20170126
0001693311-18-000002,https://www.sec.gov/Archives/edgar/data/1693311/000169331118000002/formcar.pdf,Hustle Con Media,1693311,020-23166,"150,000",C-AR,20180511
0001693411-17-000001,https://www.sec.gov/Archives/edgar/data/1693411/000169341117000001/ExD_SlideDeck.pdf,"GoFish Cam, Inc.",1693411,020-23136,"100,000",C,20170103
0001693411-17-000003,https://www.sec.gov/Archives/edgar/data/1693411/000169341117000003/ExD_SlideDeck_2.pdf,"GoFish Cam, Inc.",1693411,020-23136,"100,000",C/A,20170104
0001693411-17-000004,https://www.sec.gov/Archives/edgar/data/1693411/000169341117000004/ExA_OM2.pdf,"GoFish Cam, Inc.",1693411,020-23136,"100,000",C/A,20170123
0001644600-17-000025,https://www.sec.gov/Archives/edgar/data/1693411/000164460017000025/ExA_OM3.pdf,"GoFish Cam, Inc.",1693411,020-23136,"100,000",C/A,20170310
0001644600-17-000074,https://www.sec.gov/Archives/edgar/data/1693411/000164460017000074/GoFishCAR.pdf,"GoFish Cam, Inc.",1693411,020-23136,"100,000",C-AR,20170501
0001693411-18-000001,https://www.sec.gov/Archives/edgar/data/1693411/000169341118000001/gofishfilingpacket.pdf,"GoFish Cam, Inc.",1693411,020-24408,"48,600",C,20180622
0001693411-18-000002,https://www.sec.gov/Archives/edgar/data/1693411/000169341118000002/amendment.pdf,"GoFish Cam, Inc.",1693411,020-24408,"48,600",C/A,20180627
0001693526-17-000002,https://www.sec.gov/Archives/edgar/data/1693526/000169352617000002/formc.pdf,"Skillmil, Inc.",1693526,020-23190,"83,325",C,20170130
0001693526-17-000005,https://www.sec.gov/Archives/edgar/data/1693526/000169352617000005/skillmillfinancials.pdf,"Skillmil, Inc.",1693526,020-23190,"83,325",C/A,20170428
0001685706-17-000001,https://www.sec.gov/Archives/edgar/data/1694917/000168570617000001/offeringpage.pdf,"Vive Restaurant Group Livermore, LLC",1694917,020-23168,"200,000",C,20170117
0001694917-17-000001,https://www.sec.gov/Archives/edgar/data/1694917/000169491717000001/offeringpage.pdf,"Vive Restaurant Group Livermore, LLC",1694917,020-23168,"200,000",C/A,20170125
0001694917-18-000001,https://www.sec.gov/Archives/edgar/data/1694917/000169491718000001/document.pdf,"Vive Restaurant Group Livermore, LLC",1694917,020-23168,"200,000",C-AR,20180427
0001694974-17-000001,https://www.sec.gov/Archives/edgar/data/1694974/000169497417000001/formc.pdf,"Field Guide to Evil, LLC",1694974,020-23174,"500,000",C,20170119
0001694974-19-000001,https://www.sec.gov/Archives/edgar/data/1694974/000169497419000001/formc-ar.pdf,"Field Guide to Evil, LLC",1694974,020-23174,"500,000",C-AR,20190509
0001694994-17-000001,https://www.sec.gov/Archives/edgar/data/1694994/000169499417000001/formc.pdf,"Big Cheese, Inc.",1694994,020-23175,"184,363",C,20170119
0001694994-17-000006,https://www.sec.gov/Archives/edgar/data/1694994/000169499417000006/Exhibit_A_Financials.pdf,"Big Cheese, Inc.",1694994,020-23175,"184,363",C-AR,20170428
0001670254-17-000008,https://www.sec.gov/Archives/edgar/data/1695197/000167025417000008/document_5.pdf,"BLAZnTECH, Inc.",1695197,020-23185,"74,856.00",C,20170125
0001670254-17-000208,https://www.sec.gov/Archives/edgar/data/1695197/000167025417000208/document_5.pdf,"BLAZnTECH, Inc.",1695197,020-23185,"74,856.00",C/A,20170728
0001670254-17-000268,https://www.sec.gov/Archives/edgar/data/1695197/000167025417000268/document_5.pdf,"BLAZnTECH, Inc.",1695197,020-23185,"74,856.00",C/A,20170929
0001670254-17-000286,https://www.sec.gov/Archives/edgar/data/1695197/000167025417000286/document_5.pdf,"BLAZnTECH, Inc.",1695197,020-23185,"74,856.00",C/A,20171019
0001670254-17-000358,https://www.sec.gov/Archives/edgar/data/1695197/000167025417000358/document_5.pdf,"BLAZnTECH, Inc.",1695197,020-23185,"74,856.00",C/A,20171129
0001670254-18-000157,https://www.sec.gov/Archives/edgar/data/1695197/000167025418000157/document_6.pdf,"BLAZnTECH, Inc.",1695197,020-23185,"74,856.00",C-AR,20180427
0001670254-19-000291,https://www.sec.gov/Archives/edgar/data/1695197/000167025419000291/document_9.pdf,"BLAZnTECH, Inc.",1695197,020-23185,"74,856.00",C-AR,20190426
0001670254-20-000463,https://www.sec.gov/Archives/edgar/data/1695197/000167025420000463/document_4.pdf,"BLAZnTECH, Inc.",1695197,020-23185,"74,856.00",C-AR,20200611
0001695244-17-000001,https://www.sec.gov/Archives/edgar/data/1695244/000169524417000001/formc.pdf,"EverMem, Inc.",1695244,020-23189,"81,708",C,20170127
0001695244-18-000001,https://www.sec.gov/Archives/edgar/data/1695244/000169524418000001/formc-ar.pdf,"EverMem, Inc",1695244,020-23189,"81,708",C-AR,20180502
0001695244-19-000001,https://www.sec.gov/Archives/edgar/data/1695244/000169524419000001/formc-ar.pdf,"EverMem, Inc",1695244,020-23189,"81,708",C-AR,20190429
0001695244-20-000002,https://www.sec.gov/Archives/edgar/data/1695244/000169524420000002/formc-ar.pdf,"EverMem, Inc",1695244,020-23189,"81,708",C-AR,20200615
0001695370-17-000001,https://www.sec.gov/Archives/edgar/data/1695370/000169537017000001/offeringpage.pdf,Intero Restaurant LLC,1695370,020-23235,"200,000",C,20170310
0001695370-18-000001,https://www.sec.gov/Archives/edgar/data/1695370/000169537018000001/document.pdf,Intero Restaurant LLC,1695370,020-23235,"200,000",C-AR,20180427
0001644600-17-000023,https://www.sec.gov/Archives/edgar/data/1695816/000164460017000023/FensensVideoTranscript.pdf,"FenSens, Inc",1695816,020-23234,"160,000",C,20170309
0001695816-17-000001,https://www.sec.gov/Archives/edgar/data/1695816/000169581617000001/annualreportfiled.pdf,"FenSens, Inc",1695816,020-23234,"160,000",C-AR,20170519
0001695816-19-000003,https://www.sec.gov/Archives/edgar/data/1695816/000169581619000003/formc.pdf,"Fensens, Inc.",1695816,020-25159,"44,653",C,20190208
